,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FIFO,LIFO,LOR,LPT,LTPT,MOR,SPT,STPT,Random_Random Strategy,SoTA-PPO,GAT,GNN,GKAT,MAX,AVG,Padding_Zero,Bellman,D3QPN,GWO,GA,DE,Transfer-D3QPN,Optimal_strategy,MOR+LPT,LOR+SPT,FCFS*S,SI/Q
5*30,Scheduling time,0.18,0.19,0.35,0.4,0.36,0.35,0.34,0.34,0.76,,0.77,0.85,3.34,0.73,0.71,2.01,0.69,,,,,0.85,,0.2,0.23,0.17,0.2
,Standard deviation,95.6,131.9,130.97,142.64,100.32,108.6,123.65,145.08,132.19,,122.09,122.33,122.27,111.05,122.27,129.61,117.81,,,,,99.71,,115.59,120.82,94.55,135.47
,MAKESPAN,2072,2302,2408,2395,2194,1963,2140,2325,2141,,2270,2129,1909,2267,1909,2122,2274,1956,,,,1686,,2383,2184,2036,2152
10*30,Scheduling time,0.37,0.41,0.7,0.84,0.77,0.78,0.7,0.73,1.92,,2.45,3.07,7.13,1.73,1.83,5.36,1.76,,,,,2.13,,0.42,0.51,0.37,0.44
,Standard deviation,110.3,152.24,181.84,135.86,130.45,101.02,126.22,142.94,128.74,,128.57,165.75,128.57,124.24,128.57,126.17,123.84,,,,,109.12,,153.17,139.25,107.67,118.63
,MAKESPAN,2379,2580,2712,2683,2558,2167,2403,2693,2410,,2562,2401,2270,2613,2270,2400,2606,2198,,,,1958,,2655,2490,2344,2433
15*30,Scheduling time,0.59,0.66,1.15,1.33,1.25,1.22,1.21,1.2,3.28,,3.88,4.53,10.74,2.98,3.13,9.32,2.93,,,,,3.48,,0.68,0.8,0.6,0.71
,Standard deviation,118.9,166.88,173.86,160.12,146.1,109.82,149.16,167.73,152.41,,147.07,176.58,147.07,157.88,147.07,160.2,161.6,,,,,109.43,,143.49,172.27,113.41,147.35
,MAKESPAN,2634,2882,3005,2972,2828,2428,2680,2980,2694,,2855,2633,2489,2933,2489,2649,2943,2435,,,,2229,,2903,2726,2633,2652
20*30,Scheduling time,0.84,0.95,1.71,1.86,1.77,1.77,1.73,1.72,4.87,,5.41,5.15,14.07,4.24,4.51,15.28,4.19,,,,,5,,0.94,1.14,0.86,1.01
,Standard deviation,124.59,187.34,180.65,160.95,140.38,112.05,174.54,184.82,158.41,,166.58,163.76,166.58,167.29,166.58,147.46,162.84,,,,,97.25,,155.87,174.99,141.34,169.85
,MAKESPAN,3076,3460,3565,3625,3310,3009,3227,3488,3232,,3365,3179,3060,3398,3060,3228,3393,3005,,,,2775,,3596,3293,3084,3239
10*50,Scheduling time,0.95,1.05,1.84,2.09,2.03,2.01,1.89,1.92,8.82,,9.56,8.96,21.74,7.37,7.79,24.55,7.33,,,,,9,,1.08,1.27,0.96,1.13
,Standard deviation,136.89,159.22,148.18,181.87,128.82,126.44,132.18,157.18,147.33,,146.56,180.45,146.46,149.82,146.46,136.55,149.64,,,,,118.61,,200.06,169.72,127.96,198.66
,MAKESPAN,3382,3761,3964,3916,3678,3217,3480,3876,3515,,3713,3454,3379,3775,3379,3505,3770,3216,,,,2994,,3905,3604,3362,3507
15*50,Scheduling time,1.57,1.73,2.81,3.41,3.21,3.2,3.08,3.07,16.3,,15.4,15.53,35.8,13.86,15.15,42.68,13.91,,,,,15.68,,1.74,2.09,1.55,1.66
,Standard deviation,133.6,169.71,190.35,176.9,134.91,131.42,167.41,179.85,158.68,,149.31,239.92,150.51,165.19,150.51,173.3,164.71,,,,,100.02,,174.1,175.52,132.29,155.05
,MAKESPAN,3668,4034,4239,4209,3993,3425,3797,4197,3752,,4085,3671,3660,4105,3660,3772,4096,3456,,,,3199,,4177,3879,3684,3784
20*50,Scheduling time,2.28,2.49,4.25,4.76,4.44,4.4,4.51,4.42,22.52,,21.02,23.92,51.75,21.19,22.43,61.31,22.14,,,,,21.13,,2.48,3.01,2.24,2.17
,Standard deviation,158.31,194.75,170.88,199.08,147.74,109.09,171.02,201.67,165.71,,177.68,236.66,177.68,179.78,177.68,192.82,170.14,,,,,129.3,,209.05,195.61,140.06,183.9
,MAKESPAN,5960,6573,6802,6945,6380,5849,6220,6649,6161,,6468,5988,6104,6534,6104,6214,6532,5856,,,,5492,,6829,6373,5990,6218
15*100,Scheduling time,6.22,6.69,11.52,12.78,12.39,12.23,12.02,11.73,127.1,,124.4,139.79,280.9,114.67,112.94,323.53,116.78,,,,,137.37,,8.25,8.01,5.96,5.81
,Standard deviation,196.25,205.81,207.27,240.14,171.28,180.32,184.43,205.55,197.28,,192.65,225.82,192.65,185.75,192.65,170.6,183.9,,,,,172.33,,228.08,191.23,175.52,173.35
,MAKESPAN,6244,6927,7192,7224,6782,6053,6497,7048,6427,,6862,6259,6433,6913,6433,6516,6916,6058,,,,5650,,7103,6680,6246,6485
20*100,Scheduling time,9.95,15.16,15.96,18.15,18.55,17.35,17.79,17.4,205.56,,195.92,219.5,548.19,189.81,191.72,640.61,190.71,,,,,216.39,,12.15,11.77,8.72,8.49
,Standard deviation,169.97,214.81,226.79,235.3,174.85,150.69,241.64,207.63,201.03,,218.28,267.32,218.28,203.48,218.28,211,209.39,,,,,160.34,,249.77,208.85,168.61,196.53
