,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FIFO,LIFO,LOR,LPT,LTPT,MOR,SPT,STPT,Random_Random Strategy,SoTA-PPO,GAT,GNN,GKAT,MAX,AVG,Padding_Zero,Bellman,D3QPN,GWO,GA,DE,Transfer-D3QPN,Optimal_strategy,MOR+LPT,LOR+SPT,FCFS*S,SI/Q
la21,MAKESPAN,1296,1306,1547,1451,1278,1251,1324,1541,1346,1260,1297,1441,1294,1502,1294,1324,1473,1210,1468,1607,1552,1196,1046,1393,1296,1381,1306
(10*15),Scheduling time,0.11,0.13,0.26,0.19,0.24,0.23,0.21,0.41,0.28,0.54,0.3,0.29,3.44,0.28,0.29,0.89,0.26,2.72,35.3,3.07,1365.9,0.27,,0.17,0.16,0.13,0.14
,Standard deviation,0,0,0,0,0,0,0,0,83.96,37.71,17.64,0,0,77.73,0,0,0,52.82,76.28,56.35,35.96,0,,71.15,75.18,78.18,49.11
la22,MAKESPAN,1319,1351,1359,1315,1156,1198,1180,1563,1316,1217,1285,1378,1287,1282,1287,1180,1278,1152,1314,1434,1399,1198,927,1348,1211,1253,1196
(10*15),Scheduling time,0.11,0.13,0.18,0.17,0.25,0.23,0.2,0.23,0.29,0.54,0.29,0.3,3.42,0.24,0.27,0.97,0.24,2.72,33.77,3.04,1366.04,0.3,,0.16,0.16,0.15,0.14
,Standard deviation,0,0,0,0,0,0,0,0,108.89,52.52,9.05,0,0,23.96,0,0,0,31.45,71.59,57.36,38.15,15.81,,61.32,57.58,75.28,50.57
la23,MAKESPAN,1217,1619,1493,1302,1490,1268,1162,1254,1273,1224,1231,1172,1231,1575,1231,1162,1597,1080,1387,1557,1488,1168,1032,1342,1275,1188,1218
(10*15),Scheduling time,0.1,0.13,0.25,0.19,0.2,0.24,0.28,0.19,0.29,0.54,0.27,0.28,3.45,0.29,0.25,0.77,0.26,2.58,32.41,3.07,1364.85,0.28,,0.17,0.16,0.14,0.13
,Standard deviation,0,0,0,0,0,0,0,0,84.71,36.31,0,0,0,77.82,0,0,0,38.73,80.02,57.49,45.8,0.6,,76.47,57.08,72.41,59.07
la24,MAKESPAN,1227,1373,1508,1245,1233,1149,1203,1517,1231,1162,1130,1118,1128,1402,1128,1204,1409,1066,1335,1458,1400,1077,935,1262,1242,1265,1238
(10*15),Scheduling time,0.11,0.14,0.28,0.16,0.27,0.19,0.2,0.18,0.29,0.55,0.29,0.26,3.4,0.26,0.27,0.76,0.26,2.53,33.32,3.05,1359.64,0.32,,0.16,0.16,0.14,0.14
,Standard deviation,0,0,0,0,0,0,0,0,91.42,38.45,13.82,0,0,40.4,0,6.37,0,30.51,67.01,51.65,39.91,8.78,,55.57,72.01,69.82,76.62
la25,MAKESPAN,1331,1351,1371,1374,1250,1209,1449,1499,1318,1298,1352,1408,1351,1459,1351,1447,1470,1147,1377,1503,1440,1078,977,1366,1361,1354,1361
(10*15),Scheduling time,0.11,0.13,0.25,0.18,0.22,0.19,0.17,0.19,0.3,0.54,0.3,0.28,3.07,0.27,0.27,0.92,0.28,2.64,33.2,3.04,1361.81,0.32,,0.17,0.16,0.14,0.14
,Standard deviation,0,0,0,0,0,0,0,0,80.14,60.45,16.61,0,0,31.92,0,19.8,0,48.61,65.19,52.96,37.62,18.82,,57.11,69.83,50.52,58.81
la26,MAKESPAN,1422,1668,1687,1643,1709,1411,1498,1754,1531,1461,1514,1418,1513,1687,1513,1498,1681,1142,1781,1913,1855,1411,1218,1643,1591,1465,1558
(10*20),Scheduling time,0.17,0.21,0.4,0.44,0.35,0.4,0.46,0.36,0.56,0.73,0.71,0.82,4.45,0.48,0.46,1.98,0.48,4.91,36.52,3.09,1451.35,0.69,,0.27,0.26,0.22,0.23
,Standard deviation,0,0,0,0,0,0,0,0,88.05,40.57,3.68,0,0,32.9,0,0,0,73.21,67.93,62.19,46.15,0,,72.73,77.3,57.79,84.49
la27,MAKESPAN,1580,1695,1687,1644,1804,1566,1784,1872,1590,1610,1821,1634,1821,1671,1821,1784,1672,1523,1833,1991,1914,1438,1235,1714,1701,1559,1695
(10*20),Scheduling time,0.18,0.21,0.41,0.43,0.41,0.35,0.42,0.45,0.59,0.72,0.79,0.99,4.59,0.52,0.52,1.79,0.51,4.97,36.76,3.07,1448.66,0.71,,0.29,0.27,0.23,0.23
,Standard deviation,0,0,0,0,0,0,0,0,79.1,51.8,0,0,0,10.2,0,0,0,40.5,72.39,68.55,44.55,4.78,,89.33,80.75,54.72,85.12
la28,MAKESPAN,1491,1763,1743,1844,1543,1477,1610,1529,1595,1581,1671,1626,1672,1785,1672,1610,1787,1519,1768,1908,1849,1457,1216,1767,1573,1501,1568
(10*20),Scheduling time,0.17,0.21,0.42,0.43,0.36,0.31,0.31,0.39,0.59,0.72,0.75,0.97,4.89,0.65,0.53,2.31,0.56,5.14,36.89,3.16,1453.65,0.73,,0.28,0.26,0.23,0.23
,Standard deviation,0,0,0,0,0,0,0,0,96.91,58.87,4.67,0,0,13.34,0,0,0,69.67,77.59,70.93,43.01,7.26,,102.48,49.8,53.14,51.8
la29,MAKESPAN,1533,1751,1858,1720,1728,1437,1556,1724,1605,1500,1620,1431,1619,1684,1619,1556,1684,1379,1746,1869,1822,1437,1152,1643,1606,1527,1605
(10*20),Scheduling time,0.17,0.19,0.4,0.39,0.33,0.28,0.33,0.38,0.53,0.66,0.72,0.87,4.7,0.65,0.53,1.94,0.56,4.55,36.58,3.12,1454.37,0.65,,0.26,0.25,0.22,0.22
,Standard deviation,0,0,0,0,0,0,0,0,97.23,45.51,5.88,0,0,3.27,0,0.7,0,35.64,69.67,70.16,46.23,0,,100.2,69.7,80.58,65.48
